po_id,supplier,destination_location,order_date,expected_receipt_date,order_status,currency,payment_terms_days
PO-20220203-001988,Industrial Flow Partners,CD Santiago,2022-02-03,2022-08-02,received,CLP,60
PO-20220204-000784,Tecfluid Norte,CD Santiago,2022-02-04,2022-03-31,received,CLP,30
PO-20220204-001127,Maestranza Integral,CD Santiago,2022-02-04,2022-03-11,received,CLP,30
PO-20220204-001391,Andes Motion,CD Santiago,2022-02-04,2022-05-05,received,CLP,45
PO-20220204-002294,Tecfluid Norte,CD Santiago,2022-02-04,2022-03-31,received,CLP,30
PO-20220204-002684,Maestranza Integral,CD Santiago,2022-02-04,2022-03-11,received,CLP,30
PO-20220204-003144,Pacific Seal Supply,CD Santiago,2022-02-04,2022-07-04,received,CLP,45
PO-20220205-001413,Maestranza Integral,CD Santiago,2022-02-05,2022-03-12,received,CLP,30
PO-20220206-000729,Pacific Seal Supply,CD Santiago,2022-02-06,2022-07-06,received,CLP,45
PO-20220206-001076,Maestranza Integral,CD Santiago,2022-02-06,2022-03-13,received,CLP,30
PO-20220206-001343,Pacific Seal Supply,CD Santiago,2022-02-06,2022-07-06,received,CLP,45
PO-20220206-002659,Andes Motion,CD Santiago,2022-02-06,2022-05-07,received,CLP,45
PO-20220206-002891,Hydroline Andina,CD Santiago,2022-02-06,2022-02-27,received,CLP,30
PO-20220207-000793,Maestranza Integral,CD Santiago,2022-02-07,2022-03-14,received,CLP,30
PO-20220208-001244,Andes Motion,CD Santiago,2022-02-08,2022-05-09,received,CLP,45
PO-20220209-000210,Pacific Seal Supply,CD Santiago,2022-02-09,2022-07-09,received,CLP,45
PO-20220209-001241,Andes Motion,CD Santiago,2022-02-09,2022-05-10,received,CLP,45
PO-20220209-001967,Pacific Seal Supply,CD Santiago,2022-02-09,2022-07-09,received,CLP,45
PO-20220209-002515,Pacific Seal Supply,CD Santiago,2022-02-09,2022-07-09,received,CLP,45
PO-20220210-000881,Hydroline Andina,CD Santiago,2022-02-10,2022-03-03,received,CLP,30
PO-20220210-000918,Pacific Seal Supply,CD Santiago,2022-02-10,2022-07-10,received,CLP,45
PO-20220210-001527,Pacific Seal Supply,CD Santiago,2022-02-10,2022-07-10,received,CLP,45
PO-20220210-001567,Pacific Seal Supply,CD Santiago,2022-02-10,2022-07-10,received,CLP,45
PO-20220210-001707,Hydroline Andina,CD Santiago,2022-02-10,2022-03-03,received,CLP,30
PO-20220210-001892,Tecfluid Norte,CD Santiago,2022-02-10,2022-04-06,received,CLP,30
PO-20220211-000227,Industrial Flow Partners,CD Santiago,2022-02-11,2022-08-10,received,CLP,60
PO-20220211-000855,Hydroline Andina,CD Santiago,2022-02-11,2022-03-04,received,CLP,30
PO-20220211-001235,Maestranza Integral,CD Santiago,2022-02-11,2022-03-18,received,CLP,30
PO-20220211-001905,Andes Motion,CD Santiago,2022-02-11,2022-05-12,received,CLP,45
PO-20220211-002042,Maestranza Integral,CD Santiago,2022-02-11,2022-03-18,received,CLP,30
PO-20220211-002733,Maestranza Integral,CD Santiago,2022-02-11,2022-03-18,received,CLP,30
PO-20220211-002843,Industrial Flow Partners,CD Santiago,2022-02-11,2022-08-10,received,CLP,60
PO-20220212-001169,Industrial Flow Partners,CD Santiago,2022-02-12,2022-08-11,received,CLP,60
PO-20220212-003056,Maestranza Integral,CD Santiago,2022-02-12,2022-03-19,received,CLP,30
PO-20220214-003194,Maestranza Integral,CD Santiago,2022-02-14,2022-03-21,received,CLP,30
PO-20220215-000595,Andes Motion,CD Santiago,2022-02-15,2022-05-16,received,CLP,45
PO-20220215-000618,Hydroline Andina,CD Santiago,2022-02-15,2022-03-08,received,CLP,30
PO-20220215-001870,Tecfluid Norte,CD Santiago,2022-02-15,2022-04-11,received,CLP,30
PO-20220216-000458,Industrial Flow Partners,CD Santiago,2022-02-16,2022-08-15,received,CLP,60
PO-20220216-002097,Maestranza Integral,CD Santiago,2022-02-16,2022-03-23,received,CLP,30
PO-20220217-000065,Hydroline Andina,CD Santiago,2022-02-17,2022-03-10,received,CLP,30
PO-20220217-002460,Hydroline Andina,CD Santiago,2022-02-17,2022-03-10,received,CLP,30
PO-20220218-000367,Hydroline Andina,CD Santiago,2022-02-18,2022-03-11,received,CLP,30
PO-20220218-002653,Maestranza Integral,CD Santiago,2022-02-18,2022-03-25,received,CLP,30
PO-20220219-002960,Pacific Seal Supply,CD Santiago,2022-02-19,2022-07-19,received,CLP,45
PO-20220220-001269,Maestranza Integral,CD Santiago,2022-02-20,2022-03-27,received,CLP,30
PO-20220221-001958,Maestranza Integral,CD Santiago,2022-02-21,2022-03-28,received,CLP,30
PO-20220222-001202,Hydroline Andina,CD Santiago,2022-02-22,2022-03-15,received,CLP,30
PO-20220222-001808,Pacific Seal Supply,CD Santiago,2022-02-22,2022-07-22,received,CLP,45
PO-20220222-002967,Hydroline Andina,CD Santiago,2022-02-22,2022-03-15,received,CLP,30
PO-20220222-003166,Andes Motion,CD Santiago,2022-02-22,2022-05-23,received,CLP,45
PO-20220223-000485,Industrial Flow Partners,CD Santiago,2022-02-23,2022-08-22,received,CLP,60
PO-20220223-000697,Hydroline Andina,CD Santiago,2022-02-23,2022-03-16,received,CLP,30
PO-20220223-001579,Tecfluid Norte,CD Santiago,2022-02-23,2022-04-19,received,CLP,30
PO-20220223-002752,Tecfluid Norte,CD Santiago,2022-02-23,2022-04-19,received,CLP,30
PO-20220224-002787,Tecfluid Norte,CD Santiago,2022-02-24,2022-04-20,received,CLP,30
PO-20220225-000937,Industrial Flow Partners,CD Santiago,2022-02-25,2022-08-24,received,CLP,60
PO-20220225-001275,Tecfluid Norte,CD Santiago,2022-02-25,2022-04-21,received,CLP,30
PO-20220225-001760,Maestranza Integral,CD Santiago,2022-02-25,2022-04-01,received,CLP,30
PO-20220225-002860,Andes Motion,CD Santiago,2022-02-25,2022-05-26,received,CLP,45
PO-20220226-001620,Industrial Flow Partners,CD Santiago,2022-02-26,2022-08-25,received,CLP,60
PO-20220226-002213,Pacific Seal Supply,CD Santiago,2022-02-26,2022-07-26,received,CLP,45
PO-20220227-000047,Hydroline Andina,CD Santiago,2022-02-27,2022-03-20,received,CLP,30
PO-20220227-000105,Hydroline Andina,CD Santiago,2022-02-27,2022-03-20,received,CLP,30
PO-20220227-000922,Tecfluid Norte,CD Santiago,2022-02-27,2022-04-23,received,CLP,30
PO-20220227-001440,Tecfluid Norte,CD Santiago,2022-02-27,2022-04-23,received,CLP,30
PO-20220227-002516,Pacific Seal Supply,CD Santiago,2022-02-27,2022-07-27,received,CLP,45
PO-20220228-000948,Hydroline Andina,CD Santiago,2022-02-28,2022-03-21,received,CLP,30
PO-20220228-001371,Hydroline Andina,CD Santiago,2022-02-28,2022-03-21,received,CLP,30
PO-20220228-001414,Maestranza Integral,CD Santiago,2022-02-28,2022-04-04,received,CLP,30
PO-20220301-001827,Hydroline Andina,CD Santiago,2022-03-01,2022-03-22,received,CLP,30
PO-20220301-002282,Pacific Seal Supply,CD Santiago,2022-03-01,2022-07-29,received,CLP,45
PO-20220302-000132,Andes Motion,CD Santiago,2022-03-02,2022-05-31,received,CLP,45
PO-20220302-000875,Andes Motion,CD Santiago,2022-03-02,2022-05-31,received,CLP,45
PO-20220302-002179,Pacific Seal Supply,CD Santiago,2022-03-02,2022-07-30,received,CLP,45
PO-20220302-002337,Hydroline Andina,CD Santiago,2022-03-02,2022-03-23,received,CLP,30
PO-20220302-002947,Andes Motion,CD Santiago,2022-03-02,2022-05-31,received,CLP,45
PO-20220303-002604,Hydroline Andina,CD Santiago,2022-03-03,2022-03-24,received,CLP,30
PO-20220303-002866,Andes Motion,CD Santiago,2022-03-03,2022-06-01,received,CLP,45
PO-20220305-001077,Maestranza Integral,CD Santiago,2022-03-05,2022-04-09,received,CLP,30
PO-20220305-001251,Maestranza Integral,CD Santiago,2022-03-05,2022-04-09,received,CLP,30
PO-20220305-001543,Hydroline Andina,CD Santiago,2022-03-05,2022-03-26,received,CLP,30
PO-20220305-002399,Hydroline Andina,CD Santiago,2022-03-05,2022-03-26,received,CLP,30
PO-20220306-002034,Pacific Seal Supply,CD Santiago,2022-03-06,2022-08-03,received,CLP,45
PO-20220306-003031,Tecfluid Norte,CD Santiago,2022-03-06,2022-04-30,received,CLP,30
PO-20220307-000824,Andes Motion,CD Santiago,2022-03-07,2022-06-05,received,CLP,45
PO-20220307-001906,Andes Motion,CD Santiago,2022-03-07,2022-06-05,received,CLP,45
PO-20220309-001392,Andes Motion,CD Santiago,2022-03-09,2022-06-07,received,CLP,45
PO-20220310-001708,Hydroline Andina,CD Santiago,2022-03-10,2022-03-31,received,CLP,30
PO-20220311-000434,Industrial Flow Partners,CD Santiago,2022-03-11,2022-09-07,received,CLP,60
PO-20220311-000669,Pacific Seal Supply,CD Santiago,2022-03-11,2022-08-08,received,CLP,45
PO-20220311-001219,Hydroline Andina,CD Santiago,2022-03-11,2022-04-01,received,CLP,30
PO-20220311-001809,Pacific Seal Supply,CD Santiago,2022-03-11,2022-08-08,received,CLP,45
PO-20220311-002714,Maestranza Integral,CD Santiago,2022-03-11,2022-04-15,received,CLP,30
PO-20220312-000138,Hydroline Andina,CD Santiago,2022-03-12,2022-04-02,received,CLP,30
PO-20220312-001315,Industrial Flow Partners,CD Santiago,2022-03-12,2022-09-08,received,CLP,60
PO-20220312-003057,Maestranza Integral,CD Santiago,2022-03-12,2022-04-16,received,CLP,30
PO-20220313-000730,Pacific Seal Supply,CD Santiago,2022-03-13,2022-08-10,received,CLP,45
PO-20220314-001518,Pacific Seal Supply,CD Santiago,2022-03-14,2022-08-11,received,CLP,45
PO-20220314-002228,Andes Motion,CD Santiago,2022-03-14,2022-06-12,received,CLP,45
PO-20220314-002248,Hydroline Andina,CD Santiago,2022-03-14,2022-04-04,received,CLP,30
PO-20220314-002550,Maestranza Integral,CD Santiago,2022-03-14,2022-04-18,received,CLP,30
PO-20220315-000247,Hydroline Andina,CD Santiago,2022-03-15,2022-04-05,received,CLP,30
PO-20220315-000619,Hydroline Andina,CD Santiago,2022-03-15,2022-04-05,received,CLP,30
PO-20220315-001596,Andes Motion,CD Santiago,2022-03-15,2022-06-13,received,CLP,45
PO-20220315-002257,Andes Motion,CD Santiago,2022-03-15,2022-06-13,received,CLP,45
PO-20220315-002727,Hydroline Andina,CD Santiago,2022-03-15,2022-04-05,received,CLP,30
PO-20220316-001007,Andes Motion,CD Santiago,2022-03-16,2022-06-14,received,CLP,45
PO-20220316-002433,Hydroline Andina,CD Santiago,2022-03-16,2022-04-06,received,CLP,30
PO-20220317-000661,Andes Motion,CD Santiago,2022-03-17,2022-06-15,received,CLP,45
PO-20220317-000805,Andes Motion,CD Santiago,2022-03-17,2022-06-15,received,CLP,45
PO-20220317-001459,Tecfluid Norte,CD Santiago,2022-03-17,2022-05-11,received,CLP,30
PO-20220317-001939,Industrial Flow Partners,CD Santiago,2022-03-17,2022-09-13,received,CLP,60
PO-20220318-002068,Industrial Flow Partners,CD Santiago,2022-03-18,2022-09-14,received,CLP,60
PO-20220318-002810,Maestranza Integral,CD Santiago,2022-03-18,2022-04-22,received,CLP,30
PO-20220319-000422,Tecfluid Norte,CD Santiago,2022-03-19,2022-05-13,received,CLP,30
PO-20220319-002130,Maestranza Integral,CD Santiago,2022-03-19,2022-04-23,received,CLP,30
PO-20220319-002645,Industrial Flow Partners,CD Santiago,2022-03-19,2022-09-15,received,CLP,60
PO-20220321-000923,Tecfluid Norte,CD Santiago,2022-03-21,2022-05-15,received,CLP,30
PO-20220322-001670,Maestranza Integral,CD Santiago,2022-03-22,2022-04-26,received,CLP,30
PO-20220322-001968,Pacific Seal Supply,CD Santiago,2022-03-22,2022-08-19,received,CLP,45
PO-20220324-000342,Hydroline Andina,CD Santiago,2022-03-24,2022-04-14,received,CLP,30
PO-20220324-000368,Hydroline Andina,CD Santiago,2022-03-24,2022-04-14,received,CLP,30
PO-20220324-002587,Maestranza Integral,CD Santiago,2022-03-24,2022-04-28,received,CLP,30
PO-20220324-002757,Andes Motion,CD Santiago,2022-03-24,2022-06-22,received,CLP,45
PO-20220324-002876,Hydroline Andina,CD Santiago,2022-03-24,2022-04-14,received,CLP,30
PO-20220325-000048,Hydroline Andina,CD Santiago,2022-03-25,2022-04-15,received,CLP,30
PO-20220325-000914,Industrial Flow Partners,CD Santiago,2022-03-25,2022-09-21,received,CLP,60
PO-20220326-000170,Hydroline Andina,CD Santiago,2022-03-26,2022-04-16,received,CLP,30
PO-20220326-002363,Hydroline Andina,CD Santiago,2022-03-26,2022-04-16,received,CLP,30
PO-20220326-002461,Hydroline Andina,CD Santiago,2022-03-26,2022-04-16,received,CLP,30
PO-20220327-000139,Hydroline Andina,CD Santiago,2022-03-27,2022-04-17,received,CLP,30
PO-20220327-000610,Andes Motion,CD Santiago,2022-03-27,2022-06-25,received,CLP,45
PO-20220327-000949,Hydroline Andina,CD Santiago,2022-03-27,2022-04-17,received,CLP,30
PO-20220328-001025,Hydroline Andina,CD Santiago,2022-03-28,2022-04-18,received,CLP,30
PO-20220329-000199,Pacific Seal Supply,CD Santiago,2022-03-29,2022-08-26,received,CLP,45
PO-20220330-000498,Industrial Flow Partners,CD Santiago,2022-03-30,2022-09-26,received,CLP,60
PO-20220330-000534,Maestranza Integral,CD Santiago,2022-03-30,2022-05-04,received,CLP,30
PO-20220330-000882,Hydroline Andina,CD Santiago,2022-03-30,2022-04-20,received,CLP,30
PO-20220330-001153,Pacific Seal Supply,CD Santiago,2022-03-30,2022-08-27,received,CLP,45
PO-20220330-001372,Hydroline Andina,CD Santiago,2022-03-30,2022-04-20,received,CLP,30
PO-20220330-001441,Tecfluid Norte,CD Santiago,2022-03-30,2022-05-24,received,CLP,30
PO-20220330-002150,Industrial Flow Partners,CD Santiago,2022-03-30,2022-09-26,received,CLP,60
PO-20220331-000019,Industrial Flow Partners,CD Santiago,2022-03-31,2022-09-27,received,CLP,60
PO-20220331-002035,Pacific Seal Supply,CD Santiago,2022-03-31,2022-08-28,received,CLP,45
PO-20220401-001348,Tecfluid Norte,CD Santiago,2022-04-01,2022-05-26,received,CLP,30
PO-20220402-001252,Maestranza Integral,CD Santiago,2022-04-02,2022-05-07,received,CLP,30
PO-20220402-001415,Maestranza Integral,CD Santiago,2022-04-02,2022-05-07,received,CLP,30
PO-20220402-001621,Industrial Flow Partners,CD Santiago,2022-04-02,2022-09-29,received,CLP,60
PO-20220402-001793,Tecfluid Norte,CD Santiago,2022-04-02,2022-05-27,received,CLP,30
PO-20220402-001940,Industrial Flow Partners,CD Santiago,2022-04-02,2022-09-29,received,CLP,60
PO-20220402-002948,Andes Motion,CD Santiago,2022-04-02,2022-07-01,received,CLP,45
PO-20220403-001840,Pacific Seal Supply,CD Santiago,2022-04-03,2022-08-31,received,CLP,45
PO-20220403-002977,Hydroline Andina,CD Santiago,2022-04-03,2022-04-24,received,CLP,30
PO-20220404-001203,Hydroline Andina,CD Santiago,2022-04-04,2022-04-25,received,CLP,30
PO-20220404-001929,Maestranza Integral,CD Santiago,2022-04-04,2022-05-09,received,CLP,30
PO-20220404-003179,Hydroline Andina,CD Santiago,2022-04-04,2022-04-25,received,CLP,30
PO-20220405-000825,Andes Motion,CD Santiago,2022-04-05,2022-07-04,received,CLP,45
PO-20220405-001061,Tecfluid Norte,CD Santiago,2022-04-05,2022-05-30,received,CLP,30
PO-20220405-001471,Andes Motion,CD Santiago,2022-04-05,2022-07-04,received,CLP,45
PO-20220406-002495,Tecfluid Norte,CD Santiago,2022-04-06,2022-05-31,received,CLP,30
PO-20220407-001743,Pacific Seal Supply,CD Santiago,2022-04-07,2022-09-04,received,CLP,45
PO-20220407-003122,Andes Motion,CD Santiago,2022-04-07,2022-07-06,received,CLP,45
PO-20220408-001761,Maestranza Integral,CD Santiago,2022-04-08,2022-05-13,received,CLP,30
PO-20220408-002258,Andes Motion,CD Santiago,2022-04-08,2022-07-07,received,CLP,45
PO-20220408-002434,Hydroline Andina,CD Santiago,2022-04-08,2022-04-29,received,CLP,30
PO-20220409-002061,Pacific Seal Supply,CD Santiago,2022-04-09,2022-09-06,received,CLP,45
PO-20220409-002517,Pacific Seal Supply,CD Santiago,2022-04-09,2022-09-06,received,CLP,45
PO-20220410-000876,Andes Motion,CD Santiago,2022-04-10,2022-07-09,received,CLP,45
PO-20220411-000472,Maestranza Integral,CD Santiago,2022-04-11,2022-05-16,received,CLP,30
PO-20220411-001632,Industrial Flow Partners,CD Santiago,2022-04-11,2022-10-08,received,CLP,60
PO-20220412-000806,Andes Motion,CD Santiago,2022-04-12,2022-07-11,received,CLP,45
PO-20220412-001871,Tecfluid Norte,CD Santiago,2022-04-12,2022-06-06,received,CLP,30
PO-20220412-002311,Tecfluid Norte,CD Santiago,2022-04-12,2022-06-06,received,CLP,30
PO-20220412-002734,Maestranza Integral,CD Santiago,2022-04-12,2022-05-17,received,CLP,30
PO-20220412-002924,Hydroline Andina,CD Santiago,2022-04-12,2022-05-03,received,CLP,30
PO-20220413-001008,Andes Motion,CD Santiago,2022-04-13,2022-07-12,received,CLP,45
PO-20220413-002902,Pacific Seal Supply,CD Santiago,2022-04-13,2022-09-10,received,CLP,45
PO-20220413-003145,Pacific Seal Supply,CD Santiago,2022-04-13,2022-09-10,received,CLP,45
PO-20220414-000402,Industrial Flow Partners,CD Santiago,2022-04-14,2022-10-11,received,CLP,60
PO-20220414-000751,Maestranza Integral,CD Santiago,2022-04-14,2022-05-19,received,CLP,30
PO-20220414-001214,Tecfluid Norte,CD Santiago,2022-04-14,2022-06-08,received,CLP,30
PO-20220414-002628,Andes Motion,CD Santiago,2022-04-14,2022-07-13,received,CLP,45
PO-20220415-001023,Andes Motion,CD Santiago,2022-04-15,2022-07-14,received,CLP,45
PO-20220415-002131,Maestranza Integral,CD Santiago,2022-04-15,2022-05-20,received,CLP,30
PO-20220415-002709,Andes Motion,CD Santiago,2022-04-15,2022-07-14,received,CLP,45
PO-20220416-000049,Hydroline Andina,CD Santiago,2022-04-16,2022-05-07,received,CLP,30
PO-20220416-001416,Maestranza Integral,CD Santiago,2022-04-16,2022-05-21,received,CLP,30
PO-20220416-001507,Maestranza Integral,CD Santiago,2022-04-16,2022-05-21,received,CLP,30
PO-20220416-002012,Andes Motion,CD Santiago,2022-04-16,2022-07-15,received,CLP,45
PO-20220417-000973,Pacific Seal Supply,CD Santiago,2022-04-17,2022-09-14,received,CLP,45
PO-20220417-001671,Maestranza Integral,CD Santiago,2022-04-17,2022-05-22,received,CLP,30
PO-20220417-001907,Andes Motion,CD Santiago,2022-04-17,2022-07-16,received,CLP,45
PO-20220418-000883,Hydroline Andina,CD Santiago,2022-04-18,2022-05-09,received,CLP,30
PO-20220418-001339,Tecfluid Norte,CD Santiago,2022-04-18,2022-06-12,received,CLP,30
PO-20220419-000171,Hydroline Andina,CD Santiago,2022-04-19,2022-05-10,received,CLP,30
PO-20220419-000236,Industrial Flow Partners,CD Santiago,2022-04-19,2022-10-16,received,CLP,60
PO-20220419-001033,Industrial Flow Partners,CD Santiago,2022-04-19,2022-10-16,received,CLP,60
PO-20220419-001154,Pacific Seal Supply,CD Santiago,2022-04-19,2022-09-16,received,CLP,45
PO-20220419-001472,Andes Motion,CD Santiago,2022-04-19,2022-07-18,received,CLP,45
PO-20220419-001597,Andes Motion,CD Santiago,2022-04-19,2022-07-18,received,CLP,45
PO-20220420-000035,Hydroline Andina,CD Santiago,2022-04-20,2022-05-11,received,CLP,30
PO-20220421-000369,Hydroline Andina,CD Santiago,2022-04-21,2022-05-12,received,CLP,30
PO-20220421-003032,Tecfluid Norte,CD Santiago,2022-04-21,2022-06-15,received,CLP,30
PO-20220422-000583,Pacific Seal Supply,CD Santiago,2022-04-22,2022-09-19,received,CLP,45
PO-20220422-001753,Pacific Seal Supply,CD Santiago,2022-04-22,2022-09-19,received,CLP,45
PO-20220423-000418,Hydroline Andina,CD Santiago,2022-04-23,2022-05-14,received,CLP,30
PO-20220423-000676,Industrial Flow Partners,CD Santiago,2022-04-23,2022-10-20,received,CLP,60
PO-20220423-003082,Pacific Seal Supply,CD Santiago,2022-04-23,2022-09-20,received,CLP,45
PO-20220425-002076,Hydroline Andina,CD Santiago,2022-04-25,2022-05-16,received,CLP,30
PO-20220425-002758,Andes Motion,CD Santiago,2022-04-25,2022-07-24,received,CLP,45
PO-20220427-000020,Industrial Flow Partners,CD Santiago,2022-04-27,2022-10-24,received,CLP,60
PO-20220429-000248,Hydroline Andina,CD Santiago,2022-04-29,2022-05-20,received,CLP,30
PO-20220429-000611,Andes Motion,CD Santiago,2022-04-29,2022-07-28,received,CLP,45
PO-20220429-002629,Andes Motion,CD Santiago,2022-04-29,2022-07-28,received,CLP,45
PO-20220430-001828,Hydroline Andina,CD Santiago,2022-04-30,2022-05-21,received,CLP,30
PO-20220430-002675,Andes Motion,CD Santiago,2022-04-30,2022-07-29,received,CLP,45
PO-20220430-003104,Hydroline Andina,CD Santiago,2022-04-30,2022-05-21,received,CLP,30
PO-20220501-000073,Maestranza Integral,CD Santiago,2022-05-01,2022-06-05,received,CLP,30
PO-20220501-000276,Industrial Flow Partners,CD Santiago,2022-05-01,2022-10-28,received,CLP,60
PO-20220503-001908,Andes Motion,CD Santiago,2022-05-03,2022-08-01,received,CLP,45
PO-20220503-001930,Maestranza Integral,CD Santiago,2022-05-03,2022-06-07,received,CLP,30
PO-20220503-002496,Tecfluid Norte,CD Santiago,2022-05-03,2022-06-27,received,CLP,30
PO-20220504-001693,Industrial Flow Partners,CD Santiago,2022-05-04,2022-10-31,received,CLP,60
PO-20220504-002098,Maestranza Integral,CD Santiago,2022-05-04,2022-06-08,received,CLP,30
PO-20220504-003001,Andes Motion,CD Santiago,2022-05-04,2022-08-02,received,CLP,45
PO-20220504-003123,Andes Motion,CD Santiago,2022-05-04,2022-08-02,received,CLP,45
PO-20220506-000403,Industrial Flow Partners,CD Santiago,2022-05-06,2022-11-02,received,CLP,60
PO-20220506-000826,Andes Motion,CD Santiago,2022-05-06,2022-08-04,received,CLP,45
PO-20220506-002205,Industrial Flow Partners,CD Santiago,2022-05-06,2022-11-02,received,CLP,60
PO-20220508-001528,Pacific Seal Supply,CD Santiago,2022-05-08,2022-10-05,received,CLP,45
PO-20220508-001738,Andes Motion,CD Santiago,2022-05-08,2022-08-06,received,CLP,45
PO-20220510-000884,Hydroline Andina,CD Santiago,2022-05-10,2022-05-31,received,CLP,30
PO-20220510-001367,Pacific Seal Supply,CD Santiago,2022-05-10,2022-10-07,received,CLP,45
PO-20220510-002605,Hydroline Andina,CD Santiago,2022-05-10,2022-05-31,received,CLP,30
PO-20220511-000021,Industrial Flow Partners,CD Santiago,2022-05-11,2022-11-07,received,CLP,60
PO-20220511-001100,Hydroline Andina,CD Santiago,2022-05-11,2022-06-01,received,CLP,30
PO-20220511-001735,Maestranza Integral,CD Santiago,2022-05-11,2022-06-15,received,CLP,30
