po_id,po_line_id,sku,ordered_qty,unit_cost,line_amount,moq_applied
PO-20220209-000853,PO-20220209-000853-L01,SKU-00165,5,41197.0,205985.0,1
PO-20220209-001109,PO-20220209-001109-L01,SKU-00214,20,1745297.0,34905940.0,10
PO-20220209-001186,PO-20220209-001186-L01,SKU-00225,16,716913.0,11470608.0,1
PO-20220209-001339,PO-20220209-001339-L01,SKU-00263,8,20084.0,160672.0,1
PO-20220209-002035,PO-20220209-002035-L01,SKU-00394,10,621812.0,6218120.0,2
PO-20220209-002773,PO-20220209-002773-L01,SKU-00526,10,3324434.0,33244340.0,5
PO-20220209-003529,PO-20220209-003529-L01,SKU-00664,8,3591332.0,28730656.0,2
PO-20220209-003925,PO-20220209-003925-L01,SKU-00748,5,1213260.0,6066300.0,5
PO-20220209-003943,PO-20220209-003943-L01,SKU-00749,10,21790.0,217900.0,5
PO-20220210-000947,PO-20220210-000947-L01,SKU-00183,8,2372614.0,18980912.0,2
PO-20220210-002659,PO-20220210-002659-L01,SKU-00502,3,243707.0,731121.0,1
PO-20220210-003272,PO-20220210-003272-L01,SKU-00611,19,983772.0,18691668.0,1
PO-20220210-003461,PO-20220210-003461-L01,SKU-00651,46,1373626.0,63186796.0,2
PO-20220210-004126,PO-20220210-004126-L01,SKU-00784,8,2454699.0,19637592.0,2
PO-20220211-000112,PO-20220211-000112-L01,SKU-00026,22,1425174.0,31353828.0,1
PO-20220211-002715,PO-20220211-002715-L01,SKU-00513,4,73110.0,292440.0,2
PO-20220211-003321,PO-20220211-003321-L01,SKU-00618,4,1431242.0,5724968.0,1
PO-20220211-003647,PO-20220211-003647-L01,SKU-00689,2,12273.0,24546.0,2
PO-20220212-000214,PO-20220212-000214-L01,SKU-00051,55,2468540.0,135769700.0,1
PO-20220212-002662,PO-20220212-002662-L01,SKU-00503,6,566177.0,3397062.0,2
PO-20220212-002967,PO-20220212-002967-L01,SKU-00556,20,975252.0,19505040.0,10
PO-20220212-003182,PO-20220212-003182-L01,SKU-00591,5,112392.0,561960.0,5
PO-20220213-000700,PO-20220213-000700-L01,SKU-00137,6,3097553.0,18585318.0,1
PO-20220213-003853,PO-20220213-003853-L01,SKU-00734,12,743339.0,8920068.0,1
PO-20220214-000483,PO-20220214-000483-L01,SKU-00099,10,1833831.0,18338310.0,10
PO-20220214-003667,PO-20220214-003667-L01,SKU-00693,10,2228051.0,22280510.0,5
PO-20220214-003682,PO-20220214-003682-L01,SKU-00694,13,3344382.0,43476966.0,1
PO-20220215-000434,PO-20220215-000434-L01,SKU-00085,6,3364605.0,20187630.0,1
PO-20220215-000789,PO-20220215-000789-L01,SKU-00153,4,14963.0,59852.0,1
PO-20220216-000140,PO-20220216-000140-L01,SKU-00032,10,27468.0,274680.0,2
PO-20220216-000243,PO-20220216-000243-L01,SKU-00055,2,64168.0,128336.0,1
PO-20220216-001167,PO-20220216-001167-L01,SKU-00223,34,859574.0,29225516.0,2
PO-20220217-000042,PO-20220217-000042-L01,SKU-00015,70,3567094.0,249696580.0,10
PO-20220217-001278,PO-20220217-001278-L01,SKU-00244,5,1271913.0,6359565.0,1
PO-20220217-001724,PO-20220217-001724-L01,SKU-00349,5,7001698.0,35008490.0,5
PO-20220217-003074,PO-20220217-003074-L01,SKU-00580,2,2912775.0,5825550.0,1
PO-20220218-002373,PO-20220218-002373-L01,SKU-00450,4,19537.0,78148.0,2
PO-20220218-002543,PO-20220218-002543-L01,SKU-00486,4,328556.0,1314224.0,2
PO-20220218-003509,PO-20220218-003509-L01,SKU-00659,10,1361884.0,13618840.0,5
PO-20220219-002191,PO-20220219-002191-L01,SKU-00416,8,115118.0,920944.0,1
PO-20220220-003304,PO-20220220-003304-L01,SKU-00617,15,717253.0,10758795.0,5
PO-20220220-003334,PO-20220220-003334-L01,SKU-00622,49,1721599.0,84358351.0,1
PO-20220221-000133,PO-20220221-000133-L01,SKU-00031,12,544457.0,6533484.0,2
PO-20220221-002106,PO-20220221-002106-L01,SKU-00401,24,81993.0,1967832.0,1
PO-20220221-003030,PO-20220221-003030-L01,SKU-00573,4,1190944.0,4763776.0,2
PO-20220222-003144,PO-20220222-003144-L01,SKU-00587,20,497831.0,9956620.0,10
PO-20220222-003695,PO-20220222-003695-L01,SKU-00699,18,262166.0,4718988.0,2
PO-20220223-000031,PO-20220223-000031-L01,SKU-00011,2,608809.0,1217618.0,1
PO-20220223-000284,PO-20220223-000284-L01,SKU-00062,60,83490.0,5009400.0,10
PO-20220223-002548,PO-20220223-002548-L01,SKU-00487,45,3413968.0,153628560.0,1
PO-20220223-004003,PO-20220223-004003-L01,SKU-00762,3,70707.0,212121.0,1
PO-20220224-001508,PO-20220224-001508-L01,SKU-00298,4,3348312.0,13393248.0,2
PO-20220224-002599,PO-20220224-002599-L01,SKU-00494,14,578723.0,8102122.0,1
PO-20220224-003688,PO-20220224-003688-L01,SKU-00695,3,2471492.0,7414476.0,1
PO-20220224-004060,PO-20220224-004060-L01,SKU-00777,30,135275.0,4058250.0,10
PO-20220225-000257,PO-20220225-000257-L01,SKU-00058,6,442151.0,2652906.0,1
PO-20220225-000631,PO-20220225-000631-L01,SKU-00127,2,1749269.0,3498538.0,2
PO-20220225-002844,PO-20220225-002844-L01,SKU-00539,4,2461207.0,9844828.0,2
PO-20220225-003374,PO-20220225-003374-L01,SKU-00630,6,4938253.0,29629518.0,2
PO-20220225-003554,PO-20220225-003554-L01,SKU-00666,10,903973.0,9039730.0,10
PO-20220226-000937,PO-20220226-000937-L01,SKU-00181,4,266169.0,1064676.0,2
PO-20220226-002125,PO-20220226-002125-L01,SKU-00403,8,581032.0,4648256.0,1
PO-20220226-003921,PO-20220226-003921-L01,SKU-00747,14,3560354.0,49844956.0,2
PO-20220227-000661,PO-20220227-000661-L01,SKU-00133,4,607074.0,2428296.0,1
PO-20220227-001082,PO-20220227-001082-L01,SKU-00206,4,1262439.0,5049756.0,2
PO-20220227-002334,PO-20220227-002334-L01,SKU-00442,4,380314.0,1521256.0,2
PO-20220227-003120,PO-20220227-003120-L01,SKU-00583,10,398252.0,3982520.0,10
PO-20220227-003383,PO-20220227-003383-L01,SKU-00635,8,527068.0,4216544.0,1
PO-20220227-003421,PO-20220227-003421-L01,SKU-00641,70,647685.0,45337950.0,5
PO-20220228-000603,PO-20220228-000603-L01,SKU-00124,10,468398.0,4683980.0,5
PO-20220228-001554,PO-20220228-001554-L01,SKU-00306,5,2591662.0,12958310.0,5
PO-20220228-002850,PO-20220228-002850-L01,SKU-00540,50,204996.0,10249800.0,10
PO-20220301-003798,PO-20220301-003798-L01,SKU-00721,2,1785465.0,3570930.0,1
PO-20220302-002312,PO-20220302-002312-L01,SKU-00440,10,3525681.0,35256810.0,5
PO-20220302-002507,PO-20220302-002507-L01,SKU-00480,15,1484509.0,22267635.0,5
PO-20220302-003201,PO-20220302-003201-L01,SKU-00593,4,1262503.0,5050012.0,2
PO-20220303-000043,PO-20220303-000043-L01,SKU-00015,30,3692562.0,110776860.0,10
PO-20220303-001382,PO-20220303-001382-L01,SKU-00271,2,1606579.0,3213158.0,2
PO-20220303-002815,PO-20220303-002815-L01,SKU-00536,30,373557.0,11206710.0,2
PO-20220303-003056,PO-20220303-003056-L01,SKU-00579,9,383985.0,3455865.0,1
PO-20220303-003243,PO-20220303-003243-L01,SKU-00608,7,2644360.0,18510520.0,1
PO-20220304-001932,PO-20220304-001932-L01,SKU-00380,33,5511675.0,181885275.0,1
PO-20220304-002534,PO-20220304-002534-L01,SKU-00483,5,1474632.0,7373160.0,1
PO-20220304-003462,PO-20220304-003462-L01,SKU-00651,14,1276215.0,17867010.0,2
PO-20220304-003823,PO-20220304-003823-L01,SKU-00729,5,3280631.0,16403155.0,5
PO-20220304-004029,PO-20220304-004029-L01,SKU-00769,10,413459.0,4134590.0,2
PO-20220305-000155,PO-20220305-000155-L01,SKU-00038,6,1057010.0,6342060.0,2
PO-20220305-001998,PO-20220305-001998-L01,SKU-00389,4,571330.0,2285320.0,2
PO-20220305-002209,PO-20220305-002209-L01,SKU-00419,4,851580.0,3406320.0,1
PO-20220305-003566,PO-20220305-003566-L01,SKU-00667,4,442724.0,1770896.0,1
PO-20220305-003854,PO-20220305-003854-L01,SKU-00734,14,715580.0,10018120.0,1
PO-20220305-003926,PO-20220305-003926-L01,SKU-00748,10,1194043.0,11940430.0,5
PO-20220306-000352,PO-20220306-000352-L01,SKU-00070,17,1131712.0,19239104.0,1
PO-20220306-002082,PO-20220306-002082-L01,SKU-00397,4,1046671.0,4186684.0,2
PO-20220306-002398,PO-20220306-002398-L01,SKU-00456,8,1253107.0,10024856.0,1
PO-20220306-003259,PO-20220306-003259-L01,SKU-00609,4,13514.0,54056.0,2
PO-20220306-003844,PO-20220306-003844-L01,SKU-00733,2,305341.0,610682.0,2
PO-20220306-004105,PO-20220306-004105-L01,SKU-00783,25,157271.0,3931775.0,1
PO-20220307-001396,PO-20220307-001396-L01,SKU-00275,2,1524541.0,3049082.0,2
PO-20220307-002192,PO-20220307-002192-L01,SKU-00416,4,114907.0,459628.0,1
PO-20220307-003305,PO-20220307-003305-L01,SKU-00617,10,749656.0,7496560.0,5
PO-20220307-003615,PO-20220307-003615-L01,SKU-00680,10,223160.0,2231600.0,5
PO-20220308-000063,PO-20220308-000063-L01,SKU-00017,4,162929.0,651716.0,2
PO-20220308-000197,PO-20220308-000197-L01,SKU-00048,2,1863442.0,3726884.0,1
PO-20220308-001409,PO-20220308-001409-L01,SKU-00277,6,1035014.0,6210084.0,2
PO-20220308-003817,PO-20220308-003817-L01,SKU-00727,20,31479.0,629580.0,2
PO-20220309-000558,PO-20220309-000558-L01,SKU-00116,10,760002.0,7600020.0,2
PO-20220309-000566,PO-20220309-000566-L01,SKU-00118,10,4024575.0,40245750.0,10
PO-20220309-001340,PO-20220309-001340-L01,SKU-00263,22,18902.0,415844.0,1
PO-20220309-003586,PO-20220309-003586-L01,SKU-00670,16,1100977.0,17615632.0,2
PO-20220310-004232,PO-20220310-004232-L01,SKU-00798,40,7331.0,293240.0,5
PO-20220311-000390,PO-20220311-000390-L01,SKU-00076,15,35852.0,537780.0,5
PO-20220311-000530,PO-20220311-000530-L01,SKU-00110,4,871498.0,3485992.0,2
PO-20220311-000632,PO-20220311-000632-L01,SKU-00127,4,1647338.0,6589352.0,2
PO-20220311-000992,PO-20220311-000992-L01,SKU-00195,4,37388.0,149552.0,2
PO-20220311-001002,PO-20220311-001002-L01,SKU-00196,10,4366591.0,43665910.0,10
PO-20220311-001148,PO-20220311-001148-L01,SKU-00219,2,462569.0,925138.0,1
PO-20220311-004075,PO-20220311-004075-L01,SKU-00780,11,455346.0,5008806.0,1
PO-20220312-000417,PO-20220312-000417-L01,SKU-00082,10,352964.0,3529640.0,5
PO-20220312-001272,PO-20220312-001272-L01,SKU-00243,4,3132745.0,12530980.0,1
PO-20220312-001924,PO-20220312-001924-L01,SKU-00379,5,447573.0,2237865.0,5
PO-20220312-002238,PO-20220312-002238-L01,SKU-00423,20,5544.0,110880.0,10
PO-20220312-002549,PO-20220312-002549-L01,SKU-00487,65,3415581.0,222012765.0,1
PO-20220312-002685,PO-20220312-002685-L01,SKU-00509,14,347739.0,4868346.0,2
PO-20220312-002795,PO-20220312-002795-L01,SKU-00533,6,1483328.0,8899968.0,2
PO-20220312-003879,PO-20220312-003879-L01,SKU-00736,2,520645.0,1041290.0,1
PO-20220312-003905,PO-20220312-003905-L01,SKU-00745,4,1354159.0,5416636.0,2
PO-20220313-000984,PO-20220313-000984-L01,SKU-00193,6,2103851.0,12623106.0,2
PO-20220313-001906,PO-20220313-001906-L01,SKU-00378,10,161472.0,1614720.0,1
PO-20220315-000580,PO-20220315-000580-L01,SKU-00122,32,69129.0,2212128.0,1
PO-20220315-001265,PO-20220315-001265-L01,SKU-00242,4,579214.0,2316856.0,1
PO-20220315-002735,PO-20220315-002735-L01,SKU-00517,10,107917.0,1079170.0,5
PO-20220315-004127,PO-20220315-004127-L01,SKU-00784,4,2633259.0,10533036.0,2
PO-20220316-000803,PO-20220316-000803-L01,SKU-00156,130,496695.0,64570350.0,10
PO-20220316-001216,PO-20220316-001216-L01,SKU-00235,18,3820015.0,68760270.0,1
PO-20220316-001740,PO-20220316-001740-L01,SKU-00352,40,1567238.0,62689520.0,10
PO-20220318-000385,PO-20220318-000385-L01,SKU-00074,6,654746.0,3928476.0,2
PO-20220318-003322,PO-20220318-003322-L01,SKU-00618,4,1427222.0,5708888.0,1
PO-20220319-001104,PO-20220319-001104-L01,SKU-00211,8,358120.0,2864960.0,2
PO-20220319-003944,PO-20220319-003944-L01,SKU-00749,5,22462.0,112310.0,5
PO-20220320-000473,PO-20220320-000473-L01,SKU-00097,6,31505.0,189030.0,2
PO-20220320-001615,PO-20220320-001615-L01,SKU-00321,14,1662573.0,23276022.0,2
PO-20220320-001757,PO-20220320-001757-L01,SKU-00353,2,1399759.0,2799518.0,2
PO-20220320-002600,PO-20220320-002600-L01,SKU-00494,20,536137.0,10722740.0,1
PO-20220321-001054,PO-20220321-001054-L01,SKU-00202,8,2785913.0,22287304.0,2
PO-20220321-001317,PO-20220321-001317-L01,SKU-00257,18,114943.0,2068974.0,2
PO-20220321-002335,PO-20220321-002335-L01,SKU-00442,4,376326.0,1505304.0,2
PO-20220321-002750,PO-20220321-002750-L01,SKU-00521,5,432043.0,2160215.0,1
PO-20220321-003451,PO-20220321-003451-L01,SKU-00650,5,65931.0,329655.0,5
PO-20220322-001241,PO-20220322-001241-L01,SKU-00240,3,2731919.0,8195757.0,1
PO-20220322-002117,PO-20220322-002117-L01,SKU-00402,15,1409958.0,21149370.0,5
PO-20220322-003555,PO-20220322-003555-L01,SKU-00666,30,863643.0,25909290.0,10
PO-20220323-000374,PO-20220323-000374-L01,SKU-00072,46,1471725.0,67699350.0,1
PO-20220323-003476,PO-20220323-003476-L01,SKU-00653,8,619377.0,4955016.0,2
PO-20220323-003490,PO-20220323-003490-L01,SKU-00657,8,2086916.0,16695328.0,2
PO-20220323-003696,PO-20220323-003696-L01,SKU-00699,18,266881.0,4803858.0,2
PO-20220323-003837,PO-20220323-003837-L01,SKU-00731,5,1786609.0,8933045.0,5
PO-20220323-003975,PO-20220323-003975-L01,SKU-00755,10,328795.0,3287950.0,2
PO-20220323-004106,PO-20220323-004106-L01,SKU-00783,48,160923.0,7724304.0,1
PO-20220324-001992,PO-20220324-001992-L01,SKU-00388,4,339054.0,1356216.0,1
PO-20220324-003183,PO-20220324-003183-L01,SKU-00591,10,118913.0,1189130.0,5
PO-20220325-003660,PO-20220325-003660-L01,SKU-00692,5,5221183.0,26105915.0,5
PO-20220326-002998,PO-20220326-002998-L01,SKU-00564,10,370108.0,3701080.0,5
PO-20220327-001877,PO-20220327-001877-L01,SKU-00374,8,244504.0,1956032.0,1
PO-20220328-002033,PO-20220328-002033-L01,SKU-00393,3,163491.0,490473.0,1
PO-20220328-002590,PO-20220328-002590-L01,SKU-00492,13,1804506.0,23458578.0,1
PO-20220328-004233,PO-20220328-004233-L01,SKU-00798,30,7220.0,216600.0,5
PO-20220329-001555,PO-20220329-001555-L01,SKU-00306,10,2519995.0,25199950.0,5
PO-20220329-001907,PO-20220329-001907-L01,SKU-00378,98,162976.0,15971648.0,1
PO-20220329-002300,PO-20220329-002300-L01,SKU-00436,2,587078.0,1174156.0,1
PO-20220329-003196,PO-20220329-003196-L01,SKU-00592,10,539758.0,5397580.0,5
PO-20220329-003410,PO-20220329-003410-L01,SKU-00639,4,4455687.0,17822748.0,2
PO-20220330-001741,PO-20220330-001741-L01,SKU-00352,30,1432361.0,42970830.0,10
PO-20220330-002239,PO-20220330-002239-L01,SKU-00423,50,5756.0,287800.0,10
PO-20220330-002831,PO-20220330-002831-L01,SKU-00537,20,421462.0,8429240.0,10
PO-20220330-003057,PO-20220330-003057-L01,SKU-00579,7,414250.0,2899750.0,1
PO-20220330-003855,PO-20220330-003855-L01,SKU-00734,7,780460.0,5463220.0,1
PO-20220331-000353,PO-20220331-000353-L01,SKU-00070,29,1115772.0,32357388.0,1
PO-20220331-002210,PO-20220331-002210-L01,SKU-00419,19,924631.0,17567989.0,1
PO-20220331-002383,PO-20220331-002383-L01,SKU-00455,25,3320391.0,83009775.0,1
PO-20220401-000175,PO-20220401-000175-L01,SKU-00041,5,6131.0,30655.0,5
PO-20220401-000512,PO-20220401-000512-L01,SKU-00106,42,2863969.0,120286698.0,2
PO-20220401-002083,PO-20220401-002083-L01,SKU-00397,26,1073387.0,27908062.0,2
PO-20220402-000581,PO-20220402-000581-L01,SKU-00122,26,65039.0,1691014.0,1
PO-20220402-002535,PO-20220402-002535-L01,SKU-00483,5,1523686.0,7618430.0,1
PO-20220402-003799,PO-20220402-003799-L01,SKU-00721,4,1927432.0,7709728.0,1
PO-20220403-000204,PO-20220403-000204-L01,SKU-00049,2,460981.0,921962.0,1
PO-20220403-000285,PO-20220403-000285-L01,SKU-00062,20,81771.0,1635420.0,10
PO-20220403-000484,PO-20220403-000484-L01,SKU-00099,20,1954719.0,39094380.0,10
PO-20220404-000633,PO-20220404-000633-L01,SKU-00127,2,1805917.0,3611834.0,2
PO-20220404-000681,PO-20220404-000681-L01,SKU-00135,20,4316332.0,86326640.0,5
PO-20220404-000793,PO-20220404-000793-L01,SKU-00155,11,128950.0,1418450.0,1
PO-20220404-001378,PO-20220404-001378-L01,SKU-00270,4,6358060.0,25432240.0,2
PO-20220404-001970,PO-20220404-001970-L01,SKU-00382,15,1906064.0,28590960.0,5
PO-20220404-002686,PO-20220404-002686-L01,SKU-00509,34,338178.0,11498052.0,2
PO-20220404-003357,PO-20220404-003357-L01,SKU-00626,30,6223824.0,186714720.0,10
PO-20220404-004128,PO-20220404-004128-L01,SKU-00784,4,2622610.0,10490440.0,2
PO-20220405-000134,PO-20220405-000134-L01,SKU-00031,8,515926.0,4127408.0,2
PO-20220405-000474,PO-20220405-000474-L01,SKU-00097,10,31176.0,311760.0,2
PO-20220405-001784,PO-20220405-001784-L01,SKU-00355,10,1734673.0,17346730.0,5
PO-20220405-002294,PO-20220405-002294-L01,SKU-00435,5,962317.0,4811585.0,1
PO-20220406-000325,PO-20220406-000325-L01,SKU-00067,15,87571.0,1313565.0,5
PO-20220406-000398,PO-20220406-000398-L01,SKU-00077,3,1098558.0,3295674.0,1
PO-20220406-001003,PO-20220406-001003-L01,SKU-00196,50,4008027.0,200401350.0,10
PO-20220406-001157,PO-20220406-001157-L01,SKU-00222,28,321272.0,8995616.0,1
PO-20220406-001410,PO-20220406-001410-L01,SKU-00277,6,1041203.0,6247218.0,2
PO-20220406-001699,PO-20220406-001699-L01,SKU-00343,26,102588.0,2667288.0,1
PO-20220406-003333,PO-20220406-003333-L01,SKU-00619,2,5185867.0,10371734.0,2
PO-20220407-001247,PO-20220407-001247-L01,SKU-00241,16,3282334.0,52517344.0,2
PO-20220407-001280,PO-20220407-001280-L01,SKU-00245,19,204190.0,3879610.0,1
PO-20220407-002508,PO-20220407-002508-L01,SKU-00480,15,1377306.0,20659590.0,5
PO-20220407-002803,PO-20220407-002803-L01,SKU-00534,2,54873.0,109746.0,2
PO-20220408-001437,PO-20220408-001437-L01,SKU-00283,6,682312.0,4093872.0,1
PO-20220408-002147,PO-20220408-002147-L01,SKU-00409,4,3319795.0,13279180.0,2
PO-20220408-002202,PO-20220408-002202-L01,SKU-00418,13,375061.0,4875793.0,1
PO-20220408-002436,PO-20220408-002436-L01,SKU-00461,3,3269050.0,9807150.0,1
PO-20220409-000701,PO-20220409-000701-L01,SKU-00137,8,3080997.0,24647976.0,1
PO-20220409-002851,PO-20220409-002851-L01,SKU-00540,30,199197.0,5975910.0,10
PO-20220409-003178,PO-20220409-003178-L01,SKU-00590,10,150969.0,1509690.0,5
PO-20220410-002487,PO-20220410-002487-L01,SKU-00473,15,374789.0,5621835.0,5
PO-20220410-003668,PO-20220410-003668-L01,SKU-00693,10,2262899.0,22628990.0,5
PO-20220410-003762,PO-20220410-003762-L01,SKU-00710,6,5516630.0,33099780.0,1
PO-20220411-000668,PO-20220411-000668-L01,SKU-00134,5,297694.0,1488470.0,5
PO-20220411-002399,PO-20220411-002399-L01,SKU-00456,8,1275905.0,10207240.0,1
PO-20220411-002845,PO-20220411-002845-L01,SKU-00539,2,2325736.0,4651472.0,2
PO-20220412-001758,PO-20220412-001758-L01,SKU-00353,2,1288554.0,2577108.0,2
PO-20220412-001878,PO-20220412-001878-L01,SKU-00374,7,239592.0,1677144.0,1
PO-20220412-004107,PO-20220412-004107-L01,SKU-00783,24,163530.0,3924720.0,1
