transfer_id,sku,source_location,destination_location,ship_date,expected_receipt_date,receipt_date,transfer_qty,transfer_status
TR-20220104-003062,SKU-00156,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-05,5,received
TR-20220104-003714,SKU-00181,CD Santiago,Copiapó,2022-01-04,2022-01-07,2022-01-07,4,received
TR-20220104-005126,SKU-00245,CD Santiago,Concepción,2022-01-04,2022-01-07,2022-01-09,4,received
TR-20220104-006327,SKU-00321,CD Santiago,Concepción,2022-01-04,2022-01-07,2022-01-06,3,received
TR-20220104-006488,SKU-00331,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-06,5,received
TR-20220104-008004,SKU-00388,CD Santiago,Copiapó,2022-01-04,2022-01-07,2022-01-06,6,received
TR-20220104-008557,SKU-00401,CD Santiago,Antofagasta,2022-01-04,2022-01-08,2022-01-10,4,received
TR-20220104-008648,SKU-00402,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-11,3,received
TR-20220104-008726,SKU-00403,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-10,1,received
TR-20220104-008810,SKU-00412,CD Santiago,Concepción,2022-01-04,2022-01-07,2022-01-09,4,received
TR-20220104-008978,SKU-00419,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-06,4,received
TR-20220104-009072,SKU-00422,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-12,4,received
TR-20220104-009440,SKU-00434,CD Santiago,Antofagasta,2022-01-04,2022-01-08,2022-01-07,4,received
TR-20220104-009441,SKU-00434,CD Santiago,Concepción,2022-01-04,2022-01-07,2022-01-06,4,received
TR-20220104-009564,SKU-00440,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-05,4,received
TR-20220104-009792,SKU-00455,CD Santiago,Concepción,2022-01-04,2022-01-07,2022-01-07,5,received
TR-20220104-010190,SKU-00466,CD Santiago,Antofagasta,2022-01-04,2022-01-08,2022-01-10,5,received
TR-20220104-011357,SKU-00503,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-05,6,received
TR-20220104-011396,SKU-00509,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-10,2,received
TR-20220104-012433,SKU-00554,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-12,4,received
TR-20220104-013032,SKU-00581,CD Santiago,Antofagasta,2022-01-04,2022-01-08,2022-01-06,3,received
TR-20220104-013033,SKU-00581,CD Santiago,Concepción,2022-01-04,2022-01-07,2022-01-08,4,received
TR-20220104-013129,SKU-00582,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-10,15,received
TR-20220104-013130,SKU-00582,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-06,4,received
TR-20220104-013641,SKU-00605,CD Santiago,Copiapó,2022-01-04,2022-01-07,2022-01-06,4,received
TR-20220104-013935,SKU-00617,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-06,3,received
TR-20220104-014112,SKU-00622,CD Santiago,Antofagasta,2022-01-04,2022-01-08,2022-01-06,2,received
TR-20220104-014295,SKU-00626,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-06,6,received
TR-20220104-014790,SKU-00650,CD Santiago,Antofagasta,2022-01-04,2022-01-08,2022-01-08,5,received
TR-20220104-014821,SKU-00651,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-05,3,received
TR-20220104-015239,SKU-00665,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-11,5,received
TR-20220104-015891,SKU-00699,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-11,3,received
TR-20220104-016264,SKU-00727,CD Santiago,Antofagasta,2022-01-04,2022-01-08,2022-01-09,5,received
TR-20220104-016398,SKU-00733,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-05,4,received
TR-20220104-016430,SKU-00734,CD Santiago,Concepción,2022-01-04,2022-01-07,2022-01-08,4,received
TR-20220104-017294,SKU-00783,CD Santiago,Concepción,2022-01-04,2022-01-07,2022-01-06,2,received
TR-20220104-017889,SKU-00798,CD Santiago,Antofagasta,2022-01-04,2022-01-08,2022-01-07,4,received
TR-20220104-017890,SKU-00798,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-12,5,received
TR-20220104-017891,SKU-00798,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-06,4,received
TR-20220105-000055,SKU-00015,CD Santiago,Santiago,2022-01-05,2022-01-06,2022-01-06,3,received
TR-20220105-000648,SKU-00051,CD Santiago,Antofagasta,2022-01-05,2022-01-09,2022-01-09,3,received
TR-20220105-000843,SKU-00060,CD Santiago,Lima,2022-01-05,2022-01-12,2022-01-11,4,received
TR-20220105-001166,SKU-00063,CD Santiago,Lima,2022-01-05,2022-01-12,2022-01-11,4,received
TR-20220105-001314,SKU-00070,CD Santiago,Lima,2022-01-05,2022-01-12,2022-01-10,2,received
TR-20220105-001715,SKU-00085,CD Santiago,Antofagasta,2022-01-05,2022-01-09,2022-01-08,5,received
TR-20220105-002108,SKU-00110,CD Santiago,Antofagasta,2022-01-05,2022-01-09,2022-01-07,4,received
TR-20220105-003022,SKU-00153,CD Santiago,Concepción,2022-01-05,2022-01-08,2022-01-08,5,received
TR-20220105-003462,SKU-00165,CD Santiago,Lima,2022-01-05,2022-01-12,2022-01-12,4,received
TR-20220105-003813,SKU-00193,CD Santiago,Concepción,2022-01-05,2022-01-08,2022-01-08,3,received
TR-20220105-005124,SKU-00244,CD Santiago,Lima,2022-01-05,2022-01-12,2022-01-10,6,received
TR-20220105-005633,SKU-00284,CD Santiago,Copiapó,2022-01-05,2022-01-08,2022-01-08,3,received
TR-20220105-005634,SKU-00284,CD Santiago,Lima,2022-01-05,2022-01-12,2022-01-14,4,received
TR-20220105-005727,SKU-00291,CD Santiago,Lima,2022-01-05,2022-01-12,2022-01-10,5,received
TR-20220105-006328,SKU-00321,CD Santiago,Antofagasta,2022-01-05,2022-01-09,2022-01-08,3,received
TR-20220105-007647,SKU-00380,CD Santiago,Antofagasta,2022-01-05,2022-01-09,2022-01-11,4,received
TR-20220105-007648,SKU-00380,CD Santiago,Concepción,2022-01-05,2022-01-08,2022-01-07,7,received
TR-20220105-008036,SKU-00391,CD Santiago,Santiago,2022-01-05,2022-01-06,2022-01-06,3,received
TR-20220105-008140,SKU-00394,CD Santiago,Santiago,2022-01-05,2022-01-06,2022-01-06,3,received
TR-20220105-010555,SKU-00487,CD Santiago,Lima,2022-01-05,2022-01-12,2022-01-14,6,received
TR-20220105-010556,SKU-00487,CD Santiago,Santiago,2022-01-05,2022-01-06,2022-01-06,4,received
TR-20220105-011073,SKU-00494,CD Santiago,Copiapó,2022-01-05,2022-01-08,2022-01-09,7,received
TR-20220105-011205,SKU-00497,CD Santiago,Concepción,2022-01-05,2022-01-08,2022-01-09,3,received
TR-20220105-011926,SKU-00537,CD Santiago,Antofagasta,2022-01-05,2022-01-09,2022-01-09,5,received
TR-20220105-012887,SKU-00579,CD Santiago,Antofagasta,2022-01-05,2022-01-09,2022-01-12,4,received
TR-20220105-013131,SKU-00582,CD Santiago,Concepción,2022-01-05,2022-01-08,2022-01-07,9,received
TR-20220105-013607,SKU-00593,CD Santiago,Lima,2022-01-05,2022-01-12,2022-01-13,6,received
TR-20220105-017131,SKU-00777,CD Santiago,Lima,2022-01-05,2022-01-12,2022-01-13,2,received
TR-20220106-000383,SKU-00026,CD Santiago,Lima,2022-01-06,2022-01-13,2022-01-15,3,received
TR-20220106-001315,SKU-00070,CD Santiago,Santiago,2022-01-06,2022-01-07,2022-01-07,2,received
TR-20220106-001966,SKU-00106,CD Santiago,Copiapó,2022-01-06,2022-01-09,2022-01-10,3,received
TR-20220106-002160,SKU-00112,CD Santiago,Copiapó,2022-01-06,2022-01-09,2022-01-09,3,received
TR-20220106-002883,SKU-00137,CD Santiago,Lima,2022-01-06,2022-01-13,2022-01-16,3,received
TR-20220106-003443,SKU-00163,CD Santiago,Lima,2022-01-06,2022-01-13,2022-01-11,3,received
TR-20220106-005728,SKU-00291,CD Santiago,Concepción,2022-01-06,2022-01-09,2022-01-09,3,received
TR-20220106-005729,SKU-00291,CD Santiago,Santiago,2022-01-06,2022-01-07,2022-01-08,2,received
TR-20220106-006044,SKU-00298,CD Santiago,Concepción,2022-01-06,2022-01-09,2022-01-11,3,received
TR-20220106-006090,SKU-00303,CD Santiago,Santiago,2022-01-06,2022-01-07,2022-01-08,2,received
TR-20220106-006177,SKU-00308,CD Santiago,Santiago,2022-01-06,2022-01-07,2022-01-08,2,received
TR-20220106-006329,SKU-00321,CD Santiago,Antofagasta,2022-01-06,2022-01-10,2022-01-09,3,received
TR-20220106-006330,SKU-00321,CD Santiago,Copiapó,2022-01-06,2022-01-09,2022-01-09,3,received
TR-20220106-006564,SKU-00335,CD Santiago,Antofagasta,2022-01-06,2022-01-10,2022-01-08,3,received
TR-20220106-007382,SKU-00378,CD Santiago,Antofagasta,2022-01-06,2022-01-10,2022-01-10,4,received
TR-20220106-008881,SKU-00413,CD Santiago,Lima,2022-01-06,2022-01-13,2022-01-11,4,received
TR-20220106-009073,SKU-00422,CD Santiago,Santiago,2022-01-06,2022-01-07,2022-01-07,3,received
TR-20220106-009681,SKU-00447,CD Santiago,Santiago,2022-01-06,2022-01-07,2022-01-07,9,received
TR-20220106-010549,SKU-00486,CD Santiago,Copiapó,2022-01-06,2022-01-09,2022-01-09,4,received
TR-20220106-010968,SKU-00492,CD Santiago,Lima,2022-01-06,2022-01-13,2022-01-12,3,received
TR-20220106-011366,SKU-00504,CD Santiago,Concepción,2022-01-06,2022-01-09,2022-01-09,4,received
TR-20220106-011397,SKU-00509,CD Santiago,Lima,2022-01-06,2022-01-13,2022-01-14,3,received
TR-20220106-011815,SKU-00536,CD Santiago,Copiapó,2022-01-06,2022-01-09,2022-01-10,3,received
TR-20220106-012012,SKU-00540,CD Santiago,Copiapó,2022-01-06,2022-01-09,2022-01-10,3,received
TR-20220106-012836,SKU-00573,CD Santiago,Lima,2022-01-06,2022-01-13,2022-01-11,5,received
TR-20220106-013339,SKU-00585,CD Santiago,Concepción,2022-01-06,2022-01-09,2022-01-09,4,received
TR-20220106-013674,SKU-00608,CD Santiago,Antofagasta,2022-01-06,2022-01-10,2022-01-10,3,received
TR-20220106-014379,SKU-00629,CD Santiago,Lima,2022-01-06,2022-01-13,2022-01-14,3,received
TR-20220106-015184,SKU-00664,CD Santiago,Santiago,2022-01-06,2022-01-07,2022-01-07,5,received
TR-20220106-016933,SKU-00765,CD Santiago,Santiago,2022-01-06,2022-01-07,2022-01-08,2,received
TR-20220106-017271,SKU-00781,CD Santiago,Antofagasta,2022-01-06,2022-01-10,2022-01-10,3,received
TR-20220106-017546,SKU-00784,CD Santiago,Antofagasta,2022-01-06,2022-01-10,2022-01-08,4,received
TR-20220106-017720,SKU-00791,CD Santiago,Lima,2022-01-06,2022-01-13,2022-01-13,6,received
TR-20220106-018086,SKU-00800,CD Santiago,Santiago,2022-01-06,2022-01-07,2022-01-07,4,received
TR-20220107-000422,SKU-00029,CD Santiago,Copiapó,2022-01-07,2022-01-10,2022-01-09,2,received
TR-20220107-001316,SKU-00070,CD Santiago,Lima,2022-01-07,2022-01-14,2022-01-14,3,received
TR-20220107-001856,SKU-00099,CD Santiago,Copiapó,2022-01-07,2022-01-10,2022-01-09,3,received
TR-20220107-003851,SKU-00196,CD Santiago,Copiapó,2022-01-07,2022-01-10,2022-01-09,4,received
TR-20220107-004445,SKU-00222,CD Santiago,Concepción,2022-01-07,2022-01-10,2022-01-10,2,received
TR-20220107-004446,SKU-00222,CD Santiago,Copiapó,2022-01-07,2022-01-10,2022-01-10,3,received
TR-20220107-004855,SKU-00241,CD Santiago,Antofagasta,2022-01-07,2022-01-11,2022-01-11,23,received
TR-20220107-004856,SKU-00241,CD Santiago,Copiapó,2022-01-07,2022-01-10,2022-01-09,4,received
TR-20220107-004857,SKU-00241,CD Santiago,Lima,2022-01-07,2022-01-14,2022-01-14,8,received
TR-20220107-005336,SKU-00263,CD Santiago,Concepción,2022-01-07,2022-01-10,2022-01-11,3,received
TR-20220107-005635,SKU-00284,CD Santiago,Concepción,2022-01-07,2022-01-10,2022-01-10,1,received
TR-20220107-006789,SKU-00349,CD Santiago,Copiapó,2022-01-07,2022-01-10,2022-01-10,2,received
TR-20220107-008558,SKU-00401,CD Santiago,Lima,2022-01-07,2022-01-14,2022-01-12,3,received
TR-20220107-009789,SKU-00454,CD Santiago,Copiapó,2022-01-07,2022-01-10,2022-01-10,3,received
TR-20220107-010889,SKU-00488,CD Santiago,Copiapó,2022-01-07,2022-01-10,2022-01-11,2,received
TR-20220107-012726,SKU-00564,CD Santiago,Antofagasta,2022-01-07,2022-01-11,2022-01-10,2,received
TR-20220107-012727,SKU-00564,CD Santiago,Concepción,2022-01-07,2022-01-10,2022-01-10,2,received
TR-20220107-013536,SKU-00591,CD Santiago,Copiapó,2022-01-07,2022-01-10,2022-01-10,2,received
TR-20220107-014822,SKU-00651,CD Santiago,Concepción,2022-01-07,2022-01-10,2022-01-10,4,received
TR-20220107-016431,SKU-00734,CD Santiago,Antofagasta,2022-01-07,2022-01-11,2022-01-10,3,received
TR-20220107-016775,SKU-00749,CD Santiago,Lima,2022-01-07,2022-01-14,2022-01-14,3,received
TR-20220107-017132,SKU-00777,CD Santiago,Lima,2022-01-07,2022-01-14,2022-01-11,3,received
TR-20220110-000038,SKU-00011,CD Santiago,Copiapó,2022-01-10,2022-01-13,2022-01-12,2,received
TR-20220110-001317,SKU-00070,CD Santiago,Concepción,2022-01-10,2022-01-13,2022-01-13,2,received
TR-20220110-001438,SKU-00072,CD Santiago,Concepción,2022-01-10,2022-01-13,2022-01-13,2,received
TR-20220110-001786,SKU-00097,CD Santiago,Lima,2022-01-10,2022-01-17,2022-01-18,2,received
TR-20220110-002961,SKU-00146,CD Santiago,Lima,2022-01-10,2022-01-17,2022-01-16,3,received
TR-20220110-003607,SKU-00170,CD Santiago,Santiago,2022-01-10,2022-01-11,2022-01-11,2,received
TR-20220110-005449,SKU-00270,CD Santiago,Antofagasta,2022-01-10,2022-01-14,2022-01-17,2,received
TR-20220110-005483,SKU-00275,CD Santiago,Concepción,2022-01-10,2022-01-13,2022-01-12,2,received
TR-20220110-005698,SKU-00287,CD Santiago,Lima,2022-01-10,2022-01-17,2022-01-19,2,received
TR-20220110-007383,SKU-00378,CD Santiago,Concepción,2022-01-10,2022-01-13,2022-01-12,2,received
TR-20220110-008229,SKU-00396,CD Santiago,Santiago,2022-01-10,2022-01-11,2022-01-11,4,received
TR-20220110-011600,SKU-00513,CD Santiago,Lima,2022-01-10,2022-01-17,2022-01-19,3,received
TR-20220110-012283,SKU-00541,CD Santiago,Lima,2022-01-10,2022-01-17,2022-01-14,2,received
TR-20220110-012808,SKU-00569,CD Santiago,Antofagasta,2022-01-10,2022-01-14,2022-01-12,2,received
TR-20220110-012845,SKU-00574,CD Santiago,Santiago,2022-01-10,2022-01-11,2022-01-11,2,received
TR-20220110-012882,SKU-00578,CD Santiago,Antofagasta,2022-01-10,2022-01-14,2022-01-17,2,received
TR-20220110-013520,SKU-00590,CD Santiago,Concepción,2022-01-10,2022-01-13,2022-01-14,1,received
TR-20220110-015185,SKU-00664,CD Santiago,Antofagasta,2022-01-10,2022-01-14,2022-01-14,2,received
TR-20220110-016223,SKU-00721,CD Santiago,Copiapó,2022-01-10,2022-01-13,2022-01-13,1,received
TR-20220110-016776,SKU-00749,CD Santiago,Antofagasta,2022-01-10,2022-01-14,2022-01-13,2,received
TR-20220111-000404,SKU-00027,CD Santiago,Copiapó,2022-01-11,2022-01-14,2022-01-14,2,received
TR-20220111-000791,SKU-00055,CD Santiago,Santiago,2022-01-11,2022-01-12,2022-01-12,2,received
TR-20220111-001167,SKU-00064,CD Santiago,Santiago,2022-01-11,2022-01-12,2022-01-12,3,received
TR-20220111-003063,SKU-00156,CD Santiago,Concepción,2022-01-11,2022-01-14,2022-01-16,2,received
TR-20220111-003734,SKU-00183,CD Santiago,Antofagasta,2022-01-11,2022-01-15,2022-01-14,2,received
TR-20220111-004858,SKU-00241,CD Santiago,Santiago,2022-01-11,2022-01-12,2022-01-12,2,received
TR-20220111-005625,SKU-00283,CD Santiago,Lima,2022-01-11,2022-01-18,2022-01-21,2,received
TR-20220111-007649,SKU-00380,CD Santiago,Copiapó,2022-01-11,2022-01-14,2022-01-13,2,received
TR-20220111-009157,SKU-00423,CD Santiago,Antofagasta,2022-01-11,2022-01-15,2022-01-15,2,received
TR-20220111-010969,SKU-00492,CD Santiago,Antofagasta,2022-01-11,2022-01-15,2022-01-15,2,received
TR-20220111-011629,SKU-00516,CD Santiago,Antofagasta,2022-01-11,2022-01-15,2022-01-18,2,received
TR-20220111-011710,SKU-00526,CD Santiago,Copiapó,2022-01-11,2022-01-14,2022-01-16,2,received
TR-20220111-011816,SKU-00536,CD Santiago,Santiago,2022-01-11,2022-01-12,2022-01-12,2,received
TR-20220111-012434,SKU-00554,CD Santiago,Santiago,2022-01-11,2022-01-12,2022-01-12,2,received
TR-20220111-013022,SKU-00580,CD Santiago,Lima,2022-01-11,2022-01-18,2022-01-16,2,received
TR-20220111-014273,SKU-00623,CD Santiago,Lima,2022-01-11,2022-01-18,2022-01-19,2,received
TR-20220111-014284,SKU-00624,CD Santiago,Lima,2022-01-11,2022-01-18,2022-01-15,2,received
TR-20220111-014736,SKU-00643,CD Santiago,Antofagasta,2022-01-11,2022-01-15,2022-01-14,1,received
TR-20220111-015102,SKU-00659,CD Santiago,Santiago,2022-01-11,2022-01-12,2022-01-12,2,received
TR-20220111-015295,SKU-00666,CD Santiago,Santiago,2022-01-11,2022-01-12,2022-01-12,2,received
TR-20220111-016046,SKU-00704,CD Santiago,Lima,2022-01-11,2022-01-18,2022-01-15,2,received
TR-20220111-016110,SKU-00705,CD Santiago,Lima,2022-01-11,2022-01-18,2022-01-16,2,received
TR-20220112-000445,SKU-00031,CD Santiago,Copiapó,2022-01-12,2022-01-15,2022-01-14,2,received
TR-20220112-000649,SKU-00051,CD Santiago,Lima,2022-01-12,2022-01-19,2022-01-18,1,received
TR-20220112-000887,SKU-00062,CD Santiago,Concepción,2022-01-12,2022-01-15,2022-01-14,3,received
TR-20220112-001269,SKU-00068,CD Santiago,Concepción,2022-01-12,2022-01-15,2022-01-14,2,received
TR-20220112-004770,SKU-00235,CD Santiago,Lima,2022-01-12,2022-01-19,2022-01-21,1,received
TR-20220112-005227,SKU-00254,CD Santiago,Antofagasta,2022-01-12,2022-01-16,2022-01-18,2,received
TR-20220112-007118,SKU-00362,CD Santiago,Lima,2022-01-12,2022-01-19,2022-01-18,1,received
TR-20220112-008230,SKU-00396,CD Santiago,Santiago,2022-01-12,2022-01-13,2022-01-13,5,received
TR-20220112-008410,SKU-00397,CD Santiago,Lima,2022-01-12,2022-01-19,2022-01-19,1,received
TR-20220112-010557,SKU-00487,CD Santiago,Concepción,2022-01-12,2022-01-15,2022-01-14,7,received
TR-20220112-011074,SKU-00494,CD Santiago,Antofagasta,2022-01-12,2022-01-16,2022-01-16,2,received
TR-20220112-011350,SKU-00502,CD Santiago,Antofagasta,2022-01-12,2022-01-16,2022-01-15,2,received
TR-20220112-012877,SKU-00577,CD Santiago,Concepción,2022-01-12,2022-01-15,2022-01-14,2,received
TR-20220112-014511,SKU-00641,CD Santiago,Copiapó,2022-01-12,2022-01-15,2022-01-15,2,received
TR-20220112-015565,SKU-00675,CD Santiago,Concepción,2022-01-12,2022-01-15,2022-01-16,2,received
TR-20220112-016047,SKU-00704,CD Santiago,Lima,2022-01-12,2022-01-19,2022-01-18,2,received
TR-20220112-017892,SKU-00798,CD Santiago,Copiapó,2022-01-12,2022-01-15,2022-01-14,4,received
TR-20220113-000888,SKU-00062,CD Santiago,Concepción,2022-01-13,2022-01-16,2022-01-16,3,received
TR-20220113-001168,SKU-00064,CD Santiago,Santiago,2022-01-13,2022-01-14,2022-01-14,4,received
TR-20220113-001439,SKU-00072,CD Santiago,Santiago,2022-01-13,2022-01-14,2022-01-14,1,received
TR-20220113-001952,SKU-00103,CD Santiago,Antofagasta,2022-01-13,2022-01-17,2022-01-17,2,received
TR-20220113-002676,SKU-00132,CD Santiago,Copiapó,2022-01-13,2022-01-16,2022-01-18,5,received
TR-20220113-002732,SKU-00135,CD Santiago,Concepción,2022-01-13,2022-01-16,2022-01-17,4,received
TR-20220113-002733,SKU-00135,CD Santiago,Santiago,2022-01-13,2022-01-14,2022-01-14,1,received
TR-20220113-005238,SKU-00256,CD Santiago,Lima,2022-01-13,2022-01-20,2022-01-21,1,received
TR-20220113-006082,SKU-00301,CD Santiago,Antofagasta,2022-01-13,2022-01-17,2022-01-15,2,received
TR-20220113-006178,SKU-00308,CD Santiago,Concepción,2022-01-13,2022-01-16,2022-01-15,3,received
TR-20220113-006472,SKU-00326,CD Santiago,Lima,2022-01-13,2022-01-20,2022-01-23,2,received
TR-20220113-007243,SKU-00370,CD Santiago,Lima,2022-01-13,2022-01-20,2022-01-20,1,received
TR-20220113-008231,SKU-00396,CD Santiago,Concepción,2022-01-13,2022-01-16,2022-01-18,2,received
TR-20220113-009074,SKU-00422,CD Santiago,Concepción,2022-01-13,2022-01-16,2022-01-15,2,received
TR-20220113-009617,SKU-00441,CD Santiago,Santiago,2022-01-13,2022-01-14,2022-01-15,3,received
TR-20220113-010145,SKU-00464,CD Santiago,Santiago,2022-01-13,2022-01-14,2022-01-14,3,received
TR-20220113-012013,SKU-00540,CD Santiago,Concepción,2022-01-13,2022-01-16,2022-01-16,2,received
TR-20220113-012014,SKU-00540,CD Santiago,Copiapó,2022-01-13,2022-01-16,2022-01-16,4,received
TR-20220113-013675,SKU-00608,CD Santiago,Lima,2022-01-13,2022-01-20,2022-01-19,1,received
TR-20220113-013760,SKU-00611,CD Santiago,Concepción,2022-01-13,2022-01-16,2022-01-16,2,received
TR-20220113-013936,SKU-00617,CD Santiago,Concepción,2022-01-13,2022-01-16,2022-01-15,2,received
